question,answer,tags
What should you do if the object is pushed deeper into the nose?,Don't panic and don't try to remove it. Seek medical assistance right away.,foreign object in the nose
What should you do if the foreign object is stuck in only one nostril?,"Gently close the other nostril with your finger, then blow out gently but firmly through the affected nostril.",foreign object in the nose
What is the 'parent's kiss' method for removing a foreign object from a child's nose?,"Place your mouth over your child's mouth to create a seal, then give a short, sharp puff of air into your child's mouth. This should push the object out of your child's nose. If the object is stuck in one nostril, gently close the other nostril with your finger and blow into your child's mouth.",foreign object in the nose
When should you use tweezers to remove a foreign object from the nose?,"Use tweezers only if the object is easy to see and grasp. Try blowing air out of the nose first, as this might free the object without tweezers.",foreign object in the nose
What should you do if you can't remove the foreign object from the nose?,"Seek help right away if you see symptoms of infection, or if you can't remove the object on the first try. Call for emergency medical assistance or go to your local emergency room if these methods fail.",foreign object in the nose
What should I do first when taking care of a puncture wound?,Wash your hands to prevent infection.,puncture wounds
How can I stop bleeding from a puncture wound?,Apply gentle pressure with a clean bandage or cloth.,puncture wounds
How should I clean a puncture wound?,"Rinse the wound with clear water for 5 to 10 minutes. If dirt or debris remains in the wound, use a washcloth to gently scrub it off. See a doctor if you can't remove all of the dirt or debris.",puncture wounds
What should I do after cleaning a puncture wound?,"Apply a thin layer of an antibiotic cream or ointment (Neosporin, Polysporin). For the first two days, rewash the area and reapply the antibiotic when you change the dressing. Bandages help keep the wound clean, change the dressing daily or whenever the bandage becomes wet or dirty.",puncture wounds
What should I do if I notice signs of infection in a puncture wound?,"See a doctor if the wound isn't healing or you notice any increasing pain, pus, swelling or fever. On light skin, spreading redness is a sign of infection. On dark skin, redness may not be apparent, or the infection's streaks may look purplish-gray or darker than your normal skin.",puncture wounds
When should I seek prompt medical care for a puncture wound?,"You should seek immediate medical help if the wound keeps bleeding after a few minutes of direct pressure, is the result of an animal or human bite, is deep and dirty, is caused by a metal object, is deep and to the head, neck, scrotum, chest or abdomen, or is over a joint and could be deep.",puncture wounds
What should I do if the injured person hasn't had a tetanus shot in the past five years?,"If the wound is deep or dirty, your doctor may recommend a tetanus booster shot. The injured person should have the booster shot within 48 hours of the injury.",puncture wounds
What should I do if the wound was caused by a cat or a dog?,"Try to confirm that its rabies vaccination is up to date. If it was caused by a wild animal, seek advice from your doctor about which animals are most likely to carry rabies.",puncture wounds
What should I do first when caring for a cut or scrape?,Wash your hands to avoid infection.,cuts and scrapes
How can I stop the bleeding?,Apply gentle pressure with a clean bandage or cloth and elevate the wound until bleeding stops.,cuts and scrapes
What should I use to clean the wound?,"Rinse the wound with water and wash around the wound with soap, but don't get soap in the wound. Don't use hydrogen peroxide or iodine as they can be irritating.",cuts and scrapes
What should I do if I can't remove all the dirt or debris from the wound?,See a doctor if you can't remove all debris with a tweezers cleaned with alcohol.,cuts and scrapes
What should I apply to the wound after cleaning?,Apply a thin layer of an antibiotic ointment or petroleum jelly to keep the surface moist and help prevent scarring.,cuts and scrapes
Should I cover the wound?,"Apply a bandage, rolled gauze or gauze held in place with paper tape. Covering the wound keeps it clean. If the injury is just a minor scrape or scratch, leave it uncovered.",cuts and scrapes
How often should I change the dressing on the wound?,Change the dressing at least once a day or whenever the bandage becomes wet or dirty.,cuts and scrapes
Do I need a tetanus shot for a minor cut or scrape?,Get a tetanus shot if you haven't had one in the past five years and the wound is deep or dirty.,cuts and scrapes
When should I see a doctor for a cut or scrape?,"See a doctor if you see signs of infection on the skin or near the wound, such as redness, increasing pain, drainage, warmth or swelling.",cuts and scrapes
What causes nosebleeds?,"Nosebleeds can be caused by changes of season, dryness, scratching, some medicines, and injuries. People on blood thinners may have worse nosebleeds than others.",nosebleeds
When should I seek emergency care for a nosebleed?,"You should seek emergency care if the nosebleed involves a greater than expected amount of blood, lasts longer than 30 minutes, you feel faint or lightheaded, or the nosebleed follows a fall or an accident.",nosebleeds
What should I do for self-care of a common nosebleed?,"Sit up and lean forward. Gently blow your nose. Pinch the nose shut using the thumb and a finger for 10 to 15 minutes. If the bleeding doesn't stop, pinch the nose again for up to 15 minutes. Don't pick or blow the nose, and don't drop the head below the heart or lift anything heavy for many hours. Put a saline gel (Ayr), antibiotic ointment (Neosporin), or petroleum jelly (Vaseline) on the inside of the nose. Use steam, humidifiers, or an ice pack across the bridge of the nose. If you have another nosebleed, try the same first-aid steps again. If the bleeding does not stop, spray both sides of the nose with a nasal spray that has oxymetazoline in it (Afrin) and pinch the nose again. Seek medical help if the bleeding still does not stop.",nosebleeds
When should I contact my doctor regarding nosebleeds?,"You should contact your doctor if you have nosebleeds often and may need to have a blood vessel cauterized. You should also contact your doctor if you have nosebleeds and are taking blood thinners, such as aspirin or warfarin (Jantoven), as your care team may need to change the medicine dose. Additionally, you may consider using a humidifier to add more moisture in your home to help relieve nasal bleeding.",nosebleeds
What should you do if you get a foreign object in your eye?,"Wash your hands with soap and water. Try to flush the object out of your eye with a gentle stream of clean, warm water. Use an eyecup or a small, clean drinking glass positioned with its rim resting on the bone at the base of your eye socket. Another way to flush a foreign object from your eye is to get into a shower and aim a gentle stream of lukewarm water on your forehead over the affected eye while holding your eyelid open. If you're wearing contact lenses, it's best to remove the lens before or while you're irrigating the surface of the eye with water. Sometimes a foreign body can be stuck to the undersurface of the lens.",foreign object in the eye
What should you do to help someone else with a foreign object in their eye?,"Wash your hands with soap and water. Seat the person in a well-lighted area. Gently examine the eye to find the object. Pull the lower lid down and ask the person to look up. Then hold the upper lid while the person looks down. If the object is floating in the tear film on the surface of the eye, try using a medicine dropper filled with clean, warm water to flush it out. Or tilt the head back and irrigate the surface of the eye with clean water from a drinking glass or a gentle stream of tap water.",foreign object in the eye
What precautions should you take when trying to remove a foreign object from the eye?,Don't try to remove an object that's embedded in the eye. Don't rub the eye. Don't try to remove a large object that appears to be embedded in the eye or is sticking out between the lids.,foreign object in the eye
When should you seek emergency care for a foreign object in the eye?,"Get immediate medical help if you can't remove the object with simple irrigation, the object is embedded in the eye, the person with the object in the eye is experiencing abnormal vision, or pain, redness or the sensation of an object in the eye persists more than 24 hours after the object is removed.",foreign object in the eye
What should you do if you feel like there is still an object in your eye even after it has been removed?,Keep in mind that sometimes an object can scratch your eye. This often feels as though the object is still in the eye even after the object has been removed. This sensation can sometimes take 24 hours to go away.,foreign object in the eye
What are the symptoms of food poisoning?,"Symptoms of food poisoning vary with the source of contamination, but generally include diarrhea (which may be bloody), nausea, abdominal pain, vomiting, dehydration, and sometimes a low-grade fever.",foodborne illness
Who is at high risk of developing food poisoning?,"High-risk groups include older adults, infants and young children, people with chronic diseases, and pregnant people.",foodborne illness
What should you do if you develop food poisoning?,"If you develop food poisoning, sip liquids (such as a sports drink or water) to prevent dehydration, take note of urination, and avoid anti-diarrheal medications. Foodborne illness often improves on its own within a few days.",foodborne illness
When should you call your doctor if you have food poisoning?,"You should call your doctor if vomiting persists for more than two days, diarrhea persists for more than several days, diarrhea turns bloody, black, or tarry, fever is 101 F (38.3 C) or higher, lightheadedness or fainting occurs with standing, confusion develops, or worrisome abdominal pain develops.",foodborne illness
When should you seek emergency medical assistance if you have food poisoning?,"You should seek emergency medical assistance if you have severe symptoms (such as severe abdominal pain or watery diarrhea that turns very bloody within 24 hours), belong to a high-risk group, or suspect botulism poisoning.",foodborne illness
What are the symptoms of botulism poisoning?,"Symptoms of botulism usually begin 12 to 36 hours after eating the contaminated food and may include headache, blurred vision, muscle weakness and eventual paralysis. Some people also have nausea and vomiting, constipation, urinary retention, difficulty breathing, and a dry mouth. These symptoms require immediate medical attention.",foodborne illness
What is CPR?,"Cardiopulmonary resuscitation (CPR) is a lifesaving technique used in emergencies, such as a heart attack or near drowning, in which someone's breathing or heartbeat has stopped.",cardiopulmonary resuscitation (cpr)
What is the American Heart Association's recommendation for starting CPR?,The American Heart Association recommends starting CPR with hard and fast chest compressions. This hands-only CPR recommendation applies to both untrained bystanders and first responders.,cardiopulmonary resuscitation (cpr)
What should you do if you're afraid or unsure how to perform CPR correctly?,"If you're afraid to do CPR or unsure how to perform CPR correctly, know that it's always better to try than to do nothing at all. The difference between doing something and doing nothing could be someone's life.",cardiopulmonary resuscitation (cpr)
What should you do if you're untrained in CPR or worried about giving rescue breaths?,"If you're not trained in CPR or worried about giving rescue breaths, then provide hands-only CPR. That means uninterrupted chest compressions of 100 to 120 a minute until paramedics arrive. You don't need to try rescue breathing.",cardiopulmonary resuscitation (cpr)
What should you do if you're well-trained and confident in your ability to perform CPR?,"If you're well-trained and confident in your ability, check to see if there is a pulse and breathing. If there is no pulse or breathing within 10 seconds, begin chest compressions. Start CPR with 30 chest compressions before giving two rescue breaths.",cardiopulmonary resuscitation (cpr)
What should you do if you've previously received CPR training but you're not confident in your abilities?,"If you've previously received CPR training but you're not confident in your abilities, then just do chest compressions at a rate of 100 to 120 a minute.",cardiopulmonary resuscitation (cpr)
Does the above advice apply to newborns?,"No, the above advice applies to situations in which adults, children and infants need CPR, but not newborns (infants up to 4 weeks old).",cardiopulmonary resuscitation (cpr)
What is the purpose of CPR?,"CPR can keep oxygen-rich blood flowing to the brain and other organs until emergency medical treatment can restore a typical heart rhythm. When the heart stops, the body no longer gets oxygen-rich blood. The lack of oxygen-rich blood can cause brain damage in only a few minutes.",cardiopulmonary resuscitation (cpr)
What should you do if you are untrained and need to perform CPR?,"If you are untrained and have immediate access to a phone, call 911 or your local emergency number before beginning CPR. The dispatcher can instruct you in the proper procedures until help arrives. To learn CPR properly, take an accredited first-aid training course, including CPR and how to use an automated external defibrillator (AED).",cardiopulmonary resuscitation (cpr)
What should you check before starting CPR?,"Before starting CPR, you should check if the environment is safe for the person and if the person is conscious or unconscious. If the person appears unconscious, tap or shake his or her shoulder and ask loudly, 'Are you OK?'",cardiopulmonary resuscitation (cpr)
What should you do if the person is unconscious and doesn't respond?,"If the person is unconscious and doesn't respond, and you're with another person who can help, have one person call 911 or the local emergency number and get the automated external defibrillator (AED), if one is available. Have the other person begin CPR. If you are alone and have immediate access to a telephone, call 911 or your local emergency number before beginning CPR. Get the AED if one is available.",cardiopulmonary resuscitation (cpr)
What is the order of steps to perform CPR?,"The American Heart Association uses the letters C-A-B to help people remember the order to perform the steps of CPR. C stands for compressions, A stands for airway, and B stands for breathing.",cardiopulmonary resuscitation (cpr)
What is the most important step in CPR?,Compressions are the most important step in CPR. Compressions mean you'll use your hands to push down hard and fast in a specific way on the person's chest to restore blood flow.,cardiopulmonary resuscitation (cpr)
What are the steps for performing CPR compressions?,"To perform CPR compressions, put the person on his or her back on a firm surface, kneel next to the person's neck and shoulders, place the lower palm (heel) of your hand over the center of the person's chest between the nipples, place your other hand on top of the first hand, keep your elbows straight and position your shoulders directly above your hands, push straight down on (compress) the chest at least 2 inches (5 centimeters) but no more than 2.4 inches (6 centimeters), use your entire body weight (not just your arms) when doing compressions, push hard at a rate of 100 to 120 compressions a minute, and allow the chest to spring back (recoil) after each push. If you haven't been trained in CPR, continue chest compressions until there are signs of movement or until emergency medical personnel take over. If you have been trained in CPR, go on to opening the airway and rescue breathing.",cardiopulmonary resuscitation (cpr)
What should you do after performing 30 chest compressions during CPR?,"If you're trained in CPR and you've performed 30 chest compressions, open the person's airway using the head-tilt, chin-lift maneuver.",cardiopulmonary resuscitation (cpr)
How do you open the airway during CPR?,"Put your palm on the person's forehead and gently tilt the head back. Then with the other hand, gently lift the chin forward to open the airway.",cardiopulmonary resuscitation (cpr)
What is rescue breathing in CPR?,Rescue breathing can be mouth-to-mouth breathing or mouth-to-nose breathing if the mouth is seriously injured or can't be opened. Current recommendations suggest performing rescue breathing using a bag-mask device with a high-efficiency particulate air (HEPA) filter.,cardiopulmonary resuscitation (cpr)
How do you perform mouth-to-mouth rescue breathing during CPR?,"After opening the airway (using the head-tilt, chin-lift maneuver), pinch the nostrils shut for mouth-to-mouth breathing and cover the person's mouth with yours, making a seal. Prepare to give two rescue breaths. Give the first rescue breath — lasting one second — and watch to see if the chest rises. If the chest rises, give a second breath. If the chest doesn't rise, repeat the head-tilt, chin-lift maneuver and then give a second breath. Thirty chest compressions followed by two rescue breaths is considered one cycle. Be careful not to provide too many breaths or to breathe with too much force.",cardiopulmonary resuscitation (cpr)
What should you do after giving rescue breaths during CPR?,Resume chest compressions to restore blood flow.,cardiopulmonary resuscitation (cpr)
What should you do as soon as an automated external defibrillator (AED) is available during CPR?,"Apply it and follow the prompts. Give one shock, then resume chest compressions for two more minutes before giving a second shock.",cardiopulmonary resuscitation (cpr)
What should you do if you're not trained to use an AED during CPR?,A 911 operator or another emergency medical operator may be able to give you instructions.,cardiopulmonary resuscitation (cpr)
When should you stop performing CPR?,Continue CPR until there are signs of movement or emergency medical personnel take over.,cardiopulmonary resuscitation (cpr)
What should you do first if you are alone and didn't see the child collapse when performing CPR on a child?,"Start chest compressions for about two minutes, then quickly call 911 or your local emergency number and get the AED if one is available.",cardiopulmonary resuscitation (cpr)
What should you do first if you are alone and did see the child collapse when performing CPR on a child?,"Call 911 or your local emergency number first, then get the AED if available, and start CPR. If another person is with you, have that person call for help and get the AED while you start CPR.",cardiopulmonary resuscitation (cpr)
What should you do to perform chest compressions when giving CPR to a child?,"Place the child on his or her back on a firm surface. Kneel next to the child's neck and shoulders. Place two hands (or only one hand if the child is very small) on the lower half of the child's breastbone (sternum). Using the heel of one or both hands, press straight down on (compress) the chest about 2 inches (approximately 5 centimeters) but not greater than 2.4 inches (approximately 6 centimeters). Push hard and fast — 100 to 120 compressions a minute.",cardiopulmonary resuscitation (cpr)
What should you do to open the airway when performing CPR on a child?,"If you're trained in CPR and you've performed 30 chest compressions, open the child's airway using the head-tilt, chin-lift maneuver. Place your palm on the child's forehead and gently tilt his or her head back. With the other hand, gently lift the chin forward to open the airway.",cardiopulmonary resuscitation (cpr)
What should you do if you haven't been trained in CPR when giving CPR to a child?,Continue chest compressions until the child moves or until emergency medical personnel take over.,cardiopulmonary resuscitation (cpr)
When should you start rescue breathing when giving CPR to a child?,"If you have been trained in CPR, open the airway and start rescue breathing after performing chest compressions.",cardiopulmonary resuscitation (cpr)
What are the steps for mouth-to-mouth breathing for a child during CPR?,"After using the head-tilt, chin-lift maneuver to open the airway, pinch the child's nostrils shut. Cover the child's mouth with yours, making a seal. Breathe into the child's mouth for one second and watch to see if the chest rises. If it rises, give a second breath. If the chest doesn't rise, repeat the head-tilt, chin-lift maneuver first, and then give the second breath. Be careful not to provide too many breaths or to breathe with too much force. After the two breaths, immediately begin the next cycle of compressions and breaths. Note: If there are two people available to do CPR on the child, change rescuers every two minutes — or sooner if the rescuer is fatigued — and give one to two breaths every 15 compressions.",cardiopulmonary resuscitation (cpr)
What should you do as soon as an AED becomes available during CPR for a child?,"As soon as an AED is available, apply it and follow the prompts. Use pediatric pads for children older than 4 weeks old and up to age 8. If pediatric pads aren't available, use adult pads. Give one shock, then restart CPR — starting with chest compressions — for two more minutes before giving a second shock. If you're not trained to use an AED, a 911 operator or another emergency medical operator may be able to give you directions.",cardiopulmonary resuscitation (cpr)
How should you perform CPR on a baby 4 weeks old or older?,"First, evaluate the situation. Touch the baby and watch for a response, such as movement. Don't shake the baby. If there's no response, call 911 or your local emergency number, then immediately start CPR. Follow the compressions, airway and breathing (C-A-B) procedure for a baby under age 1 (except newborns, which include babies up to 4 weeks old).",cardiopulmonary resuscitation (cpr)
What is the compressions procedure for a baby under age 1 during CPR?,"Place the baby on his or her back on a firm, flat surface, such as a table or floor. Imagine a horizontal line drawn between the baby's nipples. Place two fingers of one hand just below this line, in the center of the chest. Gently compress the chest about 1.5 inches (about 4 centimeters). Count aloud as you push in a fairly rapid rhythm. You should push at a rate of 100 to 120 compressions a minute, just as you would when giving an adult CPR.",cardiopulmonary resuscitation (cpr)
How do you open the airway during CPR for a baby?,"After 30 compressions, gently tip the head back by lifting the chin with one hand and pushing down on the forehead with the other hand.",cardiopulmonary resuscitation (cpr)
What is the process for breathing during CPR for a baby?,"Cover the baby's mouth and nose with your mouth. Prepare to give two rescue breaths. Use the strength of your cheeks to deliver gentle puffs of air (instead of deep breaths from your lungs) to slowly breathe into the baby's mouth one time, taking one second for the breath. Watch to see if the baby's chest rises. If it does, give a second rescue breath. If the chest does not rise, repeat the head-tilt, chin-lift maneuver and then give the second breath. If the baby's chest still doesn't rise, continue chest compressions. Give two breaths after every 30 chest compressions. If two people are performing CPR, give one to two breaths after every 15 chest compressions. Continue CPR until you see signs of life or until medical personnel arrive.",cardiopulmonary resuscitation (cpr)
What should you do if a venomous snake bites you?,"Call 911 or your local emergency number immediately, especially if the bitten area changes color, begins to swell, or is painful. Move beyond the snake's striking distance, remain still and calm to help slow the spread of venom, remove jewelry and tight clothing before you start to swell, position yourself, if possible, so that the bite is at or below the level of your heart, clean the wound with soap and water, and cover it with a clean, dry dressing.",snakebites
What should you not do if a venomous snake bites you?,"Don't use a tourniquet or apply ice, don't cut the wound or attempt to remove the venom, don't drink caffeine or alcohol, which could speed your body's absorption of venom, and don't try to capture the snake.",snakebites
What are the symptoms of a nonvenomous snake bite?,Typical symptoms of the bite from a nonvenomous snake are pain and scratches at the site.,snakebites
What are the symptoms of a venomous snake bite?,"After a bite from a venomous snake, there is severe burning pain at the site within 15 to 30 minutes. This can progress to swelling and bruising at the wound and all the way up the arm or leg. Other signs and symptoms include nausea, labored breathing, a general sense of weakness, and an odd taste in the mouth. Some snakes, such as coral snakes, have toxins that cause neurological symptoms, such as skin tingling, difficulty speaking, and weakness.",snakebites
What should you do if you are bitten by a snake?,"If a venomous snake bites you, call 911 or your local emergency number immediately. Move beyond the snake's striking distance, remain still and calm to help slow the spread of venom, remove jewelry and tight clothing before you start to swell, position yourself, if possible, so that the bite is at or below the level of your heart, clean the wound with soap and water, and cover it with a clean, dry dressing. Don't use a tourniquet or apply ice, don't cut the wound or attempt to remove the venom, don't drink caffeine or alcohol, which could speed your body's absorption of venom, and don't try to capture the snake. Try to remember the snake's color and shape so that you can describe it, which will help in your treatment. If possible, take a picture of the snake from a safe distance to help with identification.",snakebites
Which snakes are venomous in North America?,"Most venomous snakes in North America have eyes like slits and are known as pit vipers. Their heads are triangular and they have fangs. One exception is the coral snake, which has a rounded head and round pupils.",snakebites
What are the signs and symptoms of sunburn?,"The signs and symptoms of sunburn include painful, inflamed, and hot to the touch skin. Blisters might also develop. Additionally, headache, fever, or nausea can be experienced.",sunburn
When should I seek immediate medical care for a sunburn?,"You should seek immediate medical care for sunburn if you experience a fever over 103 degrees Fahrenheit (39.4 degrees Celsius) with vomiting, confusion, an infection in the sunburned area, or dehydration.",sunburn
What are some first aid measures for sunburn?,"Some first aid measures for sunburn include taking a pain reliever such as ibuprofen or acetaminophen, cooling the skin with cool tap water or a cool bath, applying a moisturizer or lotion such as aloe vera or calamine lotion, drinking extra water to prevent dehydration, leaving blisters alone, protecting yourself from further sun exposure, applying nonprescription 1% hydrocortisone cream to the affected area, and treating sunburned eyes by covering them with a clean towel dampened with cool tap water.",sunburn
When should I seek medical care for sunburn?,"You should seek medical care for sunburn if you have large blisters or blisters that form on the face, hands, or genitals, worsening pain, headache, confusion, nausea, fever, chills, eye pain or vision changes, or signs of infection such as blisters with swelling, pus, or streaks.",sunburn
What are the symptoms of a heart attack?,"Someone having a heart attack may have chest pain, pressure or tightness, or a squeezing or aching sensation in the center of the chest. They may also experience pain or discomfort that spreads to the shoulder, arm, back, neck, jaw, teeth, or occasionally upper abdomen. Other symptoms can include nausea, indigestion, heartburn or abdominal pain, shortness of breath, lightheadedness, dizziness, fainting, and sweating.",heart attack
How long does chest pain typically last during a heart attack?,"A heart attack generally causes chest pain for more than 15 minutes. Some people have mild chest pain, while others have more-severe pain. The discomfort is commonly described as a pressure or chest heaviness, although some people have no chest pain or pressure at all.",heart attack
What should you do if you think you or someone else is having a heart attack?,"Call 911 or your local emergency number immediately. Don't ignore the symptoms of a heart attack. If you can't get an ambulance or emergency vehicle to come to you, have a neighbor or a friend drive you to the nearest hospital. Drive yourself only if you have no other option. Chew and swallow an aspirin while waiting for emergency help, and take nitroglycerin if prescribed by a doctor.",heart attack
What should you do if the person having a heart attack is unconscious?,"If the person is unconscious, call for emergency medical help and begin CPR to keep blood flowing. Push hard and fast on the center of the person's chest in a fairly rapid rhythm — about 100 to 120 compressions a minute. If an automated external defibrillator (AED) is immediately available and the person is unconscious, follow the device instructions for using it.",heart attack
What should you do while waiting for emergency help to arrive during a heart attack?,"Chew and swallow an aspirin while waiting for emergency help. Aspirin helps keep your blood from clotting. When taken during a heart attack, it could reduce heart damage. Don't take aspirin if you are allergic to it or have been told by your health care provider never to take aspirin. If you think you're having a heart attack and your health care provider has previously prescribed nitroglycerin for you, take it as directed while waiting for emergency medical help.",heart attack
What is a stroke?,"A stroke happens when there's bleeding into the brain or when blood flow to the brain is blocked. When brain cells are deprived of essential nutrients, they start dying within minutes.",stroke
What should you do in the event of a possible stroke?,"Use F.A.S.T. to help remember warning signs. Face: Does the face droop on one side when the person tries to smile? Arms: Is one arm lower when the person tries to raise both arms? Speech: Can the person repeat a simple sentence? Is speech slurred or hard to understand? Time: During a stroke every minute counts. If you see any of these signs, call 911 or your local emergency number right away.",stroke
What are other signs and symptoms of a stroke?,"Other signs and symptoms of a stroke, which come on suddenly, include: Weakness or numbness on one side of the body, including the face, arm or leg. Dimness, blurring or loss of vision, particularly in one eye. Or sudden double vision. Sudden, severe headache with no clear cause. Unexplained dizziness, unsteadiness or a sudden fall. Especially if dizziness is accompanied by any of the other signs or symptoms.",stroke
What is the importance of seeking immediate medical help in the event of a stroke?,"A stroke is a true emergency. The sooner treatment is given, the more likely it is that damage can be minimized. Every moment counts.",stroke
What are some risk factors for having a stroke?,"Risk factors for having a stroke include having high blood pressure, smoking, having diabetes and having heart disease. Your risk of stroke increases as you age.",stroke
What should I do if the broken bone is the result of major trauma or injury?,"If the broken bone is the result of major trauma or injury, call 911 or your local emergency number.",fractures (broken bones)
When should I call for emergency help?,"Call for emergency help if the person is unresponsive, isn't breathing or isn't moving. Begin CPR if there's no breathing or heartbeat. Also, call for emergency help if there is heavy bleeding, even gentle pressure or movement causes pain, the limb or joint appears deformed, the bone has pierced the skin, the extremity of the injured arm or leg is numb or bluish at the tip, or you suspect a bone is broken in the neck, head, or back.",fractures (broken bones)
Should I move the person if they have a broken bone?,Don't move the person except if necessary to avoid further injury.,fractures (broken bones)
What actions should I take immediately while waiting for medical help?,"Stop any bleeding, immobilize the injured area, apply ice packs to limit swelling and help relieve pain, and treat for shock. Don't try to realign the bone or push a bone that's sticking out back in. If you've been trained in how to splint and professional help isn't readily available, apply a splint to the area above and below the fracture sites. Padding the splints can help reduce discomfort. Don't apply ice directly to the skin. Wrap the ice in a towel, piece of cloth, or some other material. If the person feels faint or is breathing in short, rapid breaths, lay the person down with the head slightly lower than the trunk and, if possible, elevate the legs.",fractures (broken bones)
What is a sprain?,A sprain is an injury to a ligament caused by tearing of the fibers of the ligament.,sprain
What are the most common types of sprains?,"Ankle sprains are the most common type of sprain, but wrist, knee and thumb sprains are also common.",sprain
What is the initial treatment for a minor sprain?,"For most minor sprains, you can start initial injury treatment yourself. Follow the instructions for R.I.C.E., which stands for rest, ice, compress, and elevate.",sprain
What does R.I.C.E. stand for?,"R.I.C.E. stands for rest, ice, compress, and elevate. Rest the injured limb, ice the area, compress the area with an elastic wrap or bandage, and elevate the injured limb above your heart whenever possible to help prevent or limit swelling.",sprain
How long does it take for a sprain to recover?,"Sprains can take days to months to recover. As the pain and swelling improve, gently begin using the injured area. You should feel a gradual, progressive improvement.",sprain
What should you do to restore strength and stability to the injured limb?,It is essential to restore strength and stability to the injured limb prior to a return to sports or fitness activities. A physical therapist or other sports medicine provider can provide you with the appropriate strength and stability exercises to optimize healing and minimize the risk of repeat injury.,sprain
When should you see a doctor for a sprain?,"See your doctor if your sprain isn't improving after two or three days. Get emergency medical assistance if you're unable to bear weight on the injured leg, the joint feels unstable or numb, or you can't use the joint. This may mean the ligament was completely torn. Also seek medical attention if you develop redness or red streaks that spread out from the injured area, you have pain directly over the bones of an injured joint, you have re-injured an area that has been injured a number of times in the past, or you have a severe sprain.",sprain
What is a corneal abrasion?,"A corneal abrasion is a superficial scratch on the clear, protective 'window' at the front of the eye (cornea).",corneal abrasion (scratch)
What are the symptoms of corneal abrasion?,"The symptoms of corneal abrasion include pain, blurry vision, a gritty feeling in the eye, tearing, redness, sensitivity to light (photophobia), and headache.",corneal abrasion (scratch)
What should you do in case of a corneal abrasion?,"In case of a corneal abrasion, seek prompt medical attention. Meanwhile, rinse your eye with clean water or a saline solution, blink several times, and pull the upper eyelid over the lower eyelid. Avoid making the injury worse by not trying to remove an embedded object, not rubbing your eye after an injury, not touching your eye with cotton swabs or other instruments, and not wearing contact lenses while your eye is healing.",corneal abrasion (scratch)
How long does it take for most corneal abrasions to heal?,Most corneal abrasions heal in a few days but should be treated with antibiotic drops or ointment to reduce the risk of infection.,corneal abrasion (scratch)
What is hypothermia?,Hypothermia occurs when your body loses heat faster than it can produce heat and your body temperature falls below 95 F (35 C).,hypothermia
What are the causes of hypothermia?,Hypothermia is often caused by exposure to cold weather or immersion in a cold body of water. It can also be caused by ongoing exposure to indoor temperatures below 50 F (10 C). You could be at increased risk if you're also exhausted or dehydrated.,hypothermia
